clnt_id,is_premium
2001,1.0
2006,1.0
2012,1.0
2013,1.0
2014,1.0
2017,1.0
2019,1.0
2021,1.0
2025,1.0
2026,1.0
2028,1.0
2038,1.0
2044,1.0
2045,1.0
2046,1.0
2047,1.0
2056,1.0
2062,1.0
2065,1.0
2070,1.0
2079,1.0
2080,1.0
2084,1.0
2090,1.0
2092,1.0
2094,1.0
2099,1.0
2100,1.0
2102,1.0
2103,1.0
2104,1.0
2106,1.0
2109,1.0
2115,1.0
2121,1.0
2123,1.0
2127,1.0
2130,1.0
2142,1.0
2158,1.0
2170,1.0
2174,1.0
2176,1.0
2178,1.0
2188,1.0
2193,1.0
2199,1.0
2209,1.0
2211,1.0
2213,1.0
2215,1.0
2216,1.0
2220,1.0
2222,1.0
2224,1.0
2226,1.0
2229,1.0
2238,1.0
2240,1.0
2243,1.0
2247,1.0
2254,1.0
2264,1.0
2269,1.0
2271,1.0
2280,1.0
2281,1.0
2286,1.0
2289,1.0
2292,1.0
2293,1.0
2298,1.0
2308,1.0
2311,1.0
2316,1.0
2319,1.0
2320,1.0
2330,1.0
2333,1.0
2339,1.0
2340,1.0
2342,1.0
2344,1.0
2345,1.0
2354,1.0
2357,1.0
2360,1.0
2365,1.0
2369,1.0
2374,1.0
2375,1.0
2377,1.0
2389,1.0
2394,1.0
2395,1.0
2402,1.0
2406,1.0
2410,1.0
2415,1.0
2420,1.0
2424,1.0
2425,1.0
2428,1.0
2431,1.0
2442,1.0
2445,1.0
2447,1.0
2452,1.0
2455,1.0
2463,1.0
2468,1.0
2472,1.0
2479,1.0
2480,1.0
2485,1.0
2487,1.0
2489,1.0
2490,1.0
2497,1.0
2502,1.0
2508,1.0
2509,1.0
2520,1.0
2521,1.0
2522,1.0
2526,1.0
2534,1.0
2535,1.0
2539,1.0
2540,1.0
2548,1.0
2556,1.0
2558,1.0
2560,1.0
2565,1.0
2567,1.0
2568,1.0
2570,1.0
2579,1.0
2584,1.0
2590,1.0
2591,1.0
2592,1.0
2600,1.0
2604,1.0
2606,1.0
2608,1.0
2617,1.0
2625,1.0
2627,1.0
2628,1.0
2629,1.0
2632,1.0
2635,1.0
2639,1.0
2653,1.0
2660,1.0
2661,1.0
2662,1.0
2663,1.0
2667,1.0
2668,1.0
2670,1.0
2672,1.0
2681,1.0
2682,1.0
2687,1.0
2688,1.0
2689,1.0
2691,1.0
2694,1.0
2701,1.0
2704,1.0
2709,1.0
2710,1.0
2711,1.0
2715,1.0
2719,1.0
2729,1.0
2730,1.0
2744,1.0
2745,1.0
2746,1.0
2750,1.0
2752,1.0
2754,1.0
2757,1.0
2767,1.0
2768,1.0
2771,1.0
2774,1.0
2776,1.0
2778,1.0
2781,1.0
2787,1.0
2792,1.0
2810,1.0
2813,1.0
2814,1.0
2821,1.0
2822,1.0
2827,1.0
2828,1.0
2840,1.0
2842,1.0
2848,1.0
2849,1.0
2853,1.0
2854,1.0
2859,1.0
2864,1.0
2865,1.0
2868,1.0
2871,1.0
2876,1.0
2880,1.0
2887,1.0
2888,1.0
2895,1.0
2899,1.0
2906,1.0
2910,1.0
2913,1.0
2916,1.0
2918,1.0
2929,1.0
2933,1.0
2943,1.0
2946,1.0
2948,1.0
2965,1.0
2978,1.0
2985,1.0
2986,1.0
2987,1.0
2991,1.0
2999,1.0
3000,1.0
3007,1.0
3015,1.0
3024,1.0
3026,1.0
3029,1.0
3030,1.0
3041,1.0
3042,1.0
3047,1.0
3048,1.0
3051,1.0
3052,1.0
3057,1.0
3058,1.0
3066,1.0
3069,1.0
3074,1.0
3078,1.0
3085,1.0
3092,1.0
3096,1.0
3099,1.0
3101,1.0
3106,1.0
3110,1.0
3113,1.0
3114,1.0
3116,1.0
3118,1.0
3119,1.0
3122,1.0
3132,1.0
3133,1.0
3134,1.0
3138,1.0
3139,1.0
3140,1.0
3141,1.0
3149,1.0
3151,1.0
3155,1.0
3159,1.0
3168,1.0
3169,1.0
3172,1.0
3173,1.0
3174,1.0
3178,1.0
3181,1.0
3187,1.0
3188,1.0
3206,1.0
3209,1.0
3211,1.0
3215,1.0
3218,1.0
3220,1.0
3221,1.0
3224,1.0
3225,1.0
3226,1.0
3228,1.0
3231,1.0
3232,1.0
3235,1.0
3243,1.0
3249,1.0
3250,1.0
3251,1.0
3253,1.0
3254,1.0
3255,1.0
3258,1.0
3261,1.0
3266,1.0
3268,1.0
3271,1.0
3272,1.0
3281,1.0
3284,1.0
3288,1.0
3291,1.0
3297,1.0
3298,1.0
3299,1.0
3306,1.0
3307,1.0
3309,1.0
3310,1.0
3311,1.0
3314,1.0
3321,1.0
3338,1.0
3341,1.0
3345,1.0
3346,1.0
3350,1.0
3354,1.0
3373,1.0
3376,1.0
3377,1.0
3383,1.0
3387,1.0
3389,1.0
3392,1.0
3396,1.0
3404,1.0
3406,1.0
3409,1.0
3412,1.0
3416,1.0
3432,1.0
3440,1.0
3442,1.0
3447,1.0
3451,1.0
3460,1.0
3471,1.0
3472,1.0
3473,1.0
3476,1.0
3477,1.0
3478,1.0
3479,1.0
3486,1.0
3494,1.0
3498,1.0
3499,1.0
3505,1.0
3506,1.0
3513,1.0
3514,1.0
3518,1.0
3520,1.0
3522,1.0
3523,1.0
3528,1.0
3530,1.0
3542,1.0
3545,1.0
3550,1.0
3553,1.0
3555,1.0
3565,1.0
3573,1.0
3575,1.0
3578,1.0
3579,1.0
3583,1.0
3590,1.0
3592,1.0
3595,1.0
3606,1.0
3615,1.0
3620,1.0
3630,1.0
3632,1.0
3644,1.0
3648,1.0
3649,1.0
3652,1.0
3656,1.0
3657,1.0
3661,1.0
3668,1.0
3669,1.0
3672,1.0
3676,1.0
3690,1.0
3709,1.0
3714,1.0
3715,1.0
3727,1.0
3729,1.0
3738,1.0
3742,1.0
3743,1.0
3744,1.0
3745,1.0
3746,1.0
3747,1.0
3750,1.0
3751,1.0
3758,1.0
3759,1.0
3761,1.0
3764,1.0
3770,1.0
3773,1.0
3774,1.0
3780,1.0
3781,1.0
3784,1.0
3786,1.0
3792,1.0
3802,1.0
3808,1.0
3811,1.0
3812,1.0
3815,1.0
3817,1.0
3830,1.0
3831,1.0
3834,1.0
3836,1.0
3837,1.0
3844,1.0
3845,1.0
3846,1.0
3859,1.0
3863,1.0
3870,1.0
3871,1.0
3877,1.0
3879,1.0
3882,1.0
3884,1.0
3885,1.0
3888,1.0
3890,1.0
3894,1.0
3896,1.0
3899,1.0
3901,1.0
3906,1.0
3916,1.0
3920,1.0
3922,1.0
3928,1.0
3933,1.0
3942,1.0
3944,1.0
3946,1.0
3950,1.0
3953,1.0
3963,1.0
3974,1.0
3975,1.0
3977,1.0
3978,1.0
3981,1.0
3983,1.0
3985,1.0
3986,1.0
3988,1.0
3992,1.0
3996,1.0
4000,1.0
4002,1.0
4004,1.0
4006,1.0
4014,1.0
4016,1.0
4018,1.0
4019,1.0
4020,1.0
4022,1.0
4029,1.0
4032,1.0
4042,1.0
4045,1.0
4047,1.0
4059,1.0
4063,1.0
4066,1.0
4074,1.0
4075,1.0
4078,1.0
4079,1.0
4082,1.0
4084,1.0
4087,1.0
4090,1.0
4097,1.0
4104,1.0
4107,1.0
4109,1.0
4114,1.0
4115,1.0
4125,1.0
4131,1.0
4135,1.0
4138,1.0
4146,1.0
4155,1.0
4156,1.0
4157,1.0
4158,1.0
4173,1.0
4174,1.0
4190,1.0
4192,1.0
4199,1.0
4207,1.0
4211,1.0
4213,1.0
4226,1.0
4227,1.0
4238,1.0
4240,1.0
4249,1.0
4253,1.0
4255,1.0
4260,1.0
4271,1.0
4272,1.0
4277,1.0
4282,1.0
4286,1.0
4287,1.0
4290,1.0
4291,1.0
4294,1.0
4297,1.0
4303,1.0
4305,1.0
4309,1.0
4311,1.0
4312,1.0
4315,1.0
4323,1.0
4329,1.0
4332,1.0
4334,1.0
4339,1.0
4343,1.0
4345,1.0
4348,1.0
4353,1.0
4355,1.0
4357,1.0
4363,1.0
4365,1.0
4366,1.0
4370,1.0
4372,1.0
4374,1.0
4379,1.0
4383,1.0
4389,1.0
4397,1.0
4398,1.0
4399,1.0
4415,1.0
4416,1.0
4417,1.0
4419,1.0
4430,1.0
4438,1.0
4442,1.0
4445,1.0
4448,1.0
4452,1.0
4453,1.0
4456,1.0
4470,1.0
4475,1.0
4478,1.0
4483,1.0
4493,1.0
4494,1.0
4498,1.0
4507,1.0
4512,1.0
4513,1.0
4514,1.0
4518,1.0
4530,1.0
4539,1.0
4545,1.0
4548,1.0
4550,1.0
4553,1.0
4557,1.0
4559,1.0
4561,1.0
4569,1.0
4575,1.0
4581,1.0
4582,1.0
4586,1.0
4587,1.0
4596,1.0
4599,1.0
4604,1.0
4610,1.0
4612,1.0
4615,1.0
4617,1.0
4627,1.0
4631,1.0
4650,1.0
4652,1.0
4654,1.0
4662,1.0
4672,1.0
4674,1.0
4675,1.0
4677,1.0
4678,1.0
4679,1.0
4681,1.0
4683,1.0
4686,1.0
4693,1.0
4694,1.0
4698,1.0
4705,1.0
4708,1.0
4709,1.0
4710,1.0
4712,1.0
4721,1.0
4724,1.0
4727,1.0
4729,1.0
4735,1.0
4737,1.0
4743,1.0
4749,1.0
